comment_id,post_id,reply,date,commenter_name,commenter_id
1549523633850801_1754623992363156,105834518183309_1549523633850801,@[105834518183309] Zaroor 😊 Order confirm karne ke liye WhatsApp link open karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-51-00-00-511%0APrice%3A%20Rs%20799.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:57.057323,Nooraxo,105834518183309.0
1549591183844046_996420489638444,105834518183309_1549591183844046,@[105834518183309] Ji available hai 😊 Fast booking ke liye WhatsApp par message karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-28-00-00-288%0APrice%3A%20Rs%201499.0%0ASource%3A%20facebook_comment,2026-05-10 13:43:02.214454,Nooraxo,105834518183309.0
1549472983855866_27830775196522877,105834518183309_1549472983855866,@[105834518183309] Zaroor 😊 Order confirm karne ke liye WhatsApp link open karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-53-00-00-536%0APrice%3A%20Rs%207799.0%0ASource%3A%20facebook_comment,2026-05-10 13:45:31.833263,Nooraxo,105834518183309.0
1550136420456189_1858441311502673,1794960628541039,Order aur details ke liye message kar dein 😊,2026-05-10 14:06:19.202238,,
1550143557122142_4284812278452113,2477044379409805,Ji Cash on Delivery available hai 🚚 Order ke liye WhatsApp karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-55-00-12-55%0APrice%3A%20Rs%201199%0ASource%3A%20facebook_comment,2026-05-10 14:06:26.435632,,
1550156243787540_1765322578093816,1008953445121737,Ji price Rs 899 hai 😊 Order confirm karne ke liye WhatsApp karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-61-00-00-61%0APrice%3A%20Rs%20899%0ASource%3A%20facebook_comment,2026-05-10 14:06:31.452202,,
1550178763785288_1265824685739372,863293589360316,Ji price Rs 499 hai 😊 Order confirm karne ke liye WhatsApp karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-59-00-00-599%0APrice%3A%20Rs%20499%0ASource%3A%20facebook_comment,2026-05-10 14:06:37.381446,,
1550178763785288_1292208093107407,863293589360316,Zaroor 😊 Order confirm karne ke liye WhatsApp link open karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-59-00-00-599%0APrice%3A%20Rs%20499%0ASource%3A%20facebook_comment,2026-05-10 14:06:42.335222,,
1550358787100619_1544403217243990,105834518183309_1550358787100619,@[105834518183309] Ji available hai 😊 Fast booking ke liye WhatsApp par message karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-96-00-00-96%0APrice%3A%20Rs%20599%0ASource%3A%20facebook_comment,2026-05-10 15:46:29.136813,Nooraxo,105834518183309.0
1550054257131072_2243042403165228,2152037468894511,Ji price Rs 2499 hai 😊 Order confirm karne ke liye WhatsApp karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ba-46-00-00-465%0APrice%3A%20Rs%202499%0ASource%3A%20facebook_comment,2026-05-10 16:45:51.033051,,
1550435473759617_1512473176984343,105834518183309_1550435473759617,@[105834518183309] Ji available hai 😊 Fast booking ke liye WhatsApp par message karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-54-00-00-543%0APrice%3A%20Rs%201099%0ASource%3A%20facebook_comment,2026-05-10 16:46:00.517994,Nooraxo,105834518183309.0
1551013547035143_1871623110879463,105834518183309_1551013547035143,@[105834518183309] Zaroor 😊 Order confirm karne ke liye WhatsApp link open karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-68-00-00-683%0APrice%3A%20Rs%20299%0ASource%3A%20facebook_comment,2026-05-11 09:52:37.409871,Nooraxo,105834518183309.0
1551018103701354_914535281611562,105834518183309_1551018103701354,@[105834518183309] Zaroor 😊 Order confirm karne ke liye WhatsApp link open karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Sm-79-00-00-799%0APrice%3A%20Rs%201899%0ASource%3A%20facebook_comment,2026-05-11 09:52:43.637427,Nooraxo,105834518183309.0
1551164890353342_1511826720593408,105834518183309_1551164890353342,@[105834518183309] Zaroor 😊 Order confirm karne ke liye WhatsApp link open karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ap-57-00-00-579%0APrice%3A%20Rs%202499%0ASource%3A%20facebook_comment,2026-05-11 12:43:12.628627,Nooraxo,105834518183309.0
1551394263663738_1711188646582837,105834518183309_1551394263663738,@[105834518183309] Zaroor 😊 Order confirm karne ke liye WhatsApp link open karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-80-00-00-808%0APrice%3A%20Rs%201899%0ASource%3A%20facebook_comment,2026-05-11 18:02:31.870330,Nooraxo,105834518183309.0
1551394263663738_946571688246060,105834518183309_1551394263663738,Ji available hai. More details ke liye inbox karein 😊,2026-05-11 19:56:29.234433,,
1551440906992407_1292586135744811,105834518183309_1551440906992407,@[105834518183309] Zaroor 😊 Order confirm karne ke liye WhatsApp link open karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-33-00-00-339%0APrice%3A%20Rs%201099%0ASource%3A%20facebook_comment,2026-05-11 19:56:35.148245,Nooraxo,105834518183309.0
1551901433613021_1881407865885083,105834518183309_1551901433613021,@[105834518183309] Ji price Rs 1199 hai 😊 Order confirm karne ke liye WhatsApp karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-53-00-00-532%0APrice%3A%20Rs%201199%0ASource%3A%20facebook_comment,2026-05-12 10:38:33.588669,Nooraxo,105834518183309.0
1552306696905828_2215266999290344,105834518183309_1552306696905828,@[105834518183309] Zaroor 😊 Order confirm karne ke liye WhatsApp link open karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-70-00-00-701%0APrice%3A%20Rs%20799%0ASource%3A%20facebook_comment,2026-05-12 18:23:11.294667,Nooraxo,105834518183309.0
1552812710188560_1537761247920765,105834518183309_1552812710188560,@[105834518183309] Ji available hai 😊 Fast booking ke liye WhatsApp par message karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-52-00-00-521%0APrice%3A%20Rs%201299%0ASource%3A%20facebook_comment,2026-05-13 10:36:12.074267,Nooraxo,105834518183309.0
1553238263479338_4515382688738395,105834518183309_1553238263479338,@[105834518183309] Ji available hai 😊 Fast booking ke liye WhatsApp par message karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ap-58-00-00-585%0APrice%3A%20Rs%202499%0ASource%3A%20facebook_comment,2026-05-13 17:36:41.975232,Nooraxo,105834518183309.0
1553774353425729_1683947583029392,105834518183309_1553774353425729,@[105834518183309] Zaroor 😊 Order confirm karne ke liye WhatsApp link open karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-10-00-00-100%0APrice%3A%20Rs%20299%0ASource%3A%20facebook_comment,2026-05-14 09:56:36.776023,Nooraxo,105834518183309.0
1554209600048871_26827252973606450,105834518183309_1554209600048871,@[105834518183309] Ji price Rs 6799 hai 😊 Order confirm karne ke liye WhatsApp karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Sm-29-00-00-292%0APrice%3A%20Rs%206799%0ASource%3A%20facebook_comment,2026-05-14 18:18:12.898784,Nooraxo,105834518183309.0
1554744299995401_1376836220902736,105834518183309_1554744299995401,@[105834518183309] Ji available hai 😊 Fast booking ke liye WhatsApp par message karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Sm-43-00-00-430%0APrice%3A%20Rs%20899%0ASource%3A%20facebook_comment,2026-05-15 10:32:16.227823,Nooraxo,105834518183309
