product_id,status,price,post_url,likes,comments,shares,score,date,original_price,adjusted_price,reel_id,category,caption_style,hook_style,hashtag_style,music_url,reel_url,reel_likes,reel_comments,reel_views,engagement_score,analytics_updated_at
Sm-28-00-00-283,posted,4599.0,https://facebook.com/105834518183309_1546020660867765,0.0,0.0,0.0,5.0,2026-05-05 19:18:48.597041,,,,,,,,,,0,0,0,0,
Pe-33-00-00-334,posted,699.0,https://facebook.com/105834518183309_1546257647510733,0.0,0.0,0.0,5.0,2026-05-06 02:45:01.794115,,,,,,,,,,0,0,0,0,
Pe-78-00-00-787,posted,1599.0,https://facebook.com/105834518183309_1546690740800757,0.0,0.0,0.0,5.0,2026-05-06 14:09:26.981953,,,,,,,,,,0,0,0,0,
Pe-59-00-00-596,posted,499.0,https://facebook.com/105834518183309_1546912734111891,0.0,0.0,0.0,5.0,2026-05-06 19:45:24.776426,,,,,,,,,,0,0,0,0,
Pe-54-00-00-546,posted,899.0,https://facebook.com/105834518183309_1547121457424352,0.0,0.0,0.0,5.0,2026-05-07 02:47:01.131525,,,,,,,,,,0,0,0,0,
Sm-49-00-00-49,posted,999.0,https://facebook.com/105834518183309_1547324310737400,0.0,0.0,0.0,5.0,2026-05-07 08:33:30.069545,,,,,,,,,,0,0,0,0,
Pe-74-00-00-744,posted,299.0,https://facebook.com/105834518183309_1547584307378067,0.0,0.0,0.0,5.0,2026-05-07 14:06:46.320047,,,,,,,,,,0,0,0,0,
Pe-51-00-00-510,posted,799.0,https://facebook.com/105834518183309_1547811230688708,0.0,0.0,0.0,5.0,2026-05-07 19:43:05.594847,,,,,,,,,,0,0,0,0,
Ki-42-00-12-42,posted,1399.0,https://facebook.com/105834518183309_1548037970666034,0.0,0.0,0.0,5.0,2026-05-08 02:50:42.877668,,,,,,,,,,0,0,0,0,
Ba-41-00-00-418,posted,1799.0,https://facebook.com/105834518183309_1548215927314905,0.0,0.0,0.0,5.0,2026-05-08 07:29:37.320932,,,,,,,,,,0,0,0,0,
Pe-51-00-00-518,posted,1299.0,https://facebook.com/105834518183309_1548475783955586,0.0,0.0,0.0,5.0,2026-05-08 13:46:25.499486,,,,,,,,,,0,0,0,0,
Pe-61-00-00-613,posted,1399.0,https://facebook.com/105834518183309_1548707790599052,0,0,0,5.0,2026-05-08 19:16:56.549192,,,,,,,,,,0,0,0,0,2026-05-10 16:22:56.691283
Ho-30-00-00-305,posted,2399.0,https://facebook.com/105834518183309_1548951090574722,0,0,0,5.0,2026-05-09 02:45:41.708499,,,,,,,,,,0,0,0,0,2026-05-10 16:22:57.035024
Ne-63-00-00-634,posted,899.0,,0.0,0.0,0.0,5.0,2026-05-09 07:55:39.524547,,,,,,,,,,0,0,0,0,2026-05-10 16:22:57.035190
Pe-66-00-00-660,posted,1699.0,https://facebook.com/105834518183309_1549158777220620,0,0,0,5.0,2026-05-09 08:33:41.028597,,,,,,,,,,0,0,0,0,2026-05-10 16:22:57.397478
Pe-45-00-00-450,posted,699.0,https://facebook.com/105834518183309_1549278827208615,0,0,0,5.0,2026-05-09 11:45:26.262823,,,,,,,,,,0,0,0,0,2026-05-10 16:22:57.739316
Ho-36-00-00-365,posted,799.0,https://facebook.com/105834518183309_1549290120540819,0,0,0,5.0,2026-05-09 11:58:40.496294,,,,,,,,,,0,0,0,0,2026-05-10 16:22:58.139766
Ho-29-00-00-29,posted,2199.0,https://facebook.com/105834518183309_1549305133872651,0,0,0,5.0,2026-05-09 12:13:45.089843,,,,,,,,,,0,0,0,0,2026-05-10 16:22:58.529698
Sm-76-00-00-767,posted,3299.0,https://facebook.com/105834518183309_1549313450538486,0,0,0,5.0,2026-05-09 12:23:58.265875,,,,,,,,,,0,0,0,0,2026-05-10 16:22:58.873827
Ho-65-00-00-658,posted,699.0,https://facebook.com/105834518183309_1549390790530752,0,1,0,8.0,2026-05-09 14:06:53.979018,,,1293782798975525,kitchen,local_ai_benefit_caption,urgency,category_dynamic,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-6.mp3,,0,0,0,3,2026-05-10 16:22:59.970412
Sm-27-00-00-271,posted,2499.0,https://facebook.com/105834518183309_1549431853859979,0,1,0,5.0,2026-05-09 15:02:58.458754,,,1406852084542635,general,local_ai_benefit_caption,discovery,category_dynamic,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-1.mp3,,0,0,0,3,2026-05-10 16:23:00.943384
Ho-53-00-00-536,posted,7799.0,https://facebook.com/105834518183309_1549472983855866,0,1,0,5.0,2026-05-09 15:55:36.470283,,,2032775197631595,general,local_ai_benefit_caption,discovery,category_dynamic,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-11.mp3,,0,0,0,3,2026-05-10 16:23:01.926387
Pe-60-00-00-609,posted,699.0,https://facebook.com/105834518183309_1549489377187560,0,1,0,8.0,2026-05-09 16:05:40.748397,,,1466013008598618,beauty,local_ai_benefit_caption,discovery,category_dynamic,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-6.mp3,,0,0,0,3,2026-05-10 16:23:02.945177
Pe-74-00-00-74,posted,1599.0,https://facebook.com/105834518183309_1549500470519784,0,1,0,8.0,2026-05-09 16:20:08.104878,,, ,home,local_ai_benefit_caption,urgency,category_dynamic,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,,0,0,0,3,2026-05-10 16:23:03.324910
Pe-51-00-00-511,posted,799.0,https://facebook.com/105834518183309_1549523633850801,0,1,8,8.0,2026-05-09 16:49:26.835671,,,1476201400961328,beauty,local_ai_benefit_caption,budget,category_dynamic,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-4.mp3,,0,0,0,43,2026-05-10 16:23:05.900420
Pe-28-00-00-288,posted,1499.0,https://facebook.com/105834518183309_1549591183844046,0,1,0,8.0,2026-05-09 18:27:34.230173,,,977268515021676,beauty,local_ai_benefit_caption,urgency,category_dynamic,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-6.mp3,https://facebook.com/977268515021676,0,0,0,3,2026-05-10 16:23:06.986729
Ba-46-00-00-465,posted,2499.0,https://facebook.com/105834518183309_1550054067131091,0,1,0,5.0,2026-05-10 07:39:58.875550,,,2152037468894511,fashion,local_ai_benefit_caption,urgency,category_dynamic,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-13.mp3,https://facebook.com/2152037468894511,0,1,0,6,2026-05-10 16:23:08.114015
Ho-72-00-00-729,posted,1799.0,https://facebook.com/105834518183309_1550136320456199,0,1,0,8.0,2026-05-10 09:45:24.630461,,,1794960628541039,general,local_ai_benefit_caption,budget,category_dynamic,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-14.mp3,https://facebook.com/1794960628541039,0,1,0,6,2026-05-10 16:23:09.589533
Pe-55-00-12-55,posted,1199.0,https://facebook.com/105834518183309_1550143470455484,0,1,1,8.0,2026-05-10 09:55:19.183199,,,2477044379409805,beauty,local_ai_benefit_caption,budget,category_dynamic,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,https://facebook.com/2477044379409805,0,1,0,11,2026-05-10 16:23:10.667398
Ho-61-00-00-61,posted,899.0,https://facebook.com/105834518183309_1550156170454214,0,1,0,8.0,2026-05-10 10:13:43.904774,,,1008953445121737,kitchen,local_ai_benefit_caption,urgency,category_dynamic,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-15.mp3,https://facebook.com/1008953445121737,0,1,0,6,2026-05-10 16:23:11.879574
Pe-59-00-00-599,posted,499.0,https://facebook.com/105834518183309_1550178680451963,0,2,0,8.0,2026-05-10 10:48:25.139349,,,863293589360316,beauty,local_ai_benefit_caption,budget,category_dynamic,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-11.mp3,https://facebook.com/863293589360316,0,2,0,12,2026-05-10 16:23:12.903993
Ho-96-00-00-96,posted,599.0,https://facebook.com/105834518183309_1550358787100619,0,1,0,8.0,2026-05-10 14:50:13.866800,,,957591029936055,general,local_ai_benefit_caption,discovery,category_dynamic,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-3.mp3,https://facebook.com/957591029936055,0,0,0,3,2026-05-10 16:23:13.891255
