comment_id,post_id,title,price,whatsapp_link,date
1549500470519784_973569771926275,105834518183309_1549500470519784,Pe-74-00-00-74,1599.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-74-00-00-74%0APrice%3A%20Rs%201599.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:46.716499
1549523633850801_1754623992363156,105834518183309_1549523633850801,Pe-51-00-00-511,799.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-51-00-00-511%0APrice%3A%20Rs%20799.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:51.968769
1549591183844046_996420489638444,105834518183309_1549591183844046,Pe-28-00-00-288,1499.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-28-00-00-288%0APrice%3A%20Rs%201499.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:57.403990
1550143557122142_4284812278452113,2477044379409805,Pe-55-00-12-55,1199.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-55-00-12-55%0APrice%3A%20Rs%201199%0ASource%3A%20facebook_comment,2026-05-10 14:06:19.699073
1550156243787540_1765322578093816,1008953445121737,Ho-61-00-00-61,899.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-61-00-00-61%0APrice%3A%20Rs%20899%0ASource%3A%20facebook_comment,2026-05-10 14:06:26.974872
1550178763785288_1265824685739372,863293589360316,Pe-59-00-00-599,499.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-59-00-00-599%0APrice%3A%20Rs%20499%0ASource%3A%20facebook_comment,2026-05-10 14:06:32.056191
1550178763785288_1292208093107407,863293589360316,Pe-59-00-00-599,499.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-59-00-00-599%0APrice%3A%20Rs%20499%0ASource%3A%20facebook_comment,2026-05-10 14:06:37.383314
1550358787100619_1544403217243990,105834518183309_1550358787100619,Ho-96-00-00-96,599.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-96-00-00-96%0APrice%3A%20Rs%20599%0ASource%3A%20facebook_comment,2026-05-10 15:46:11.453893
1550054257131072_2243042403165228,2152037468894511,Ba-46-00-00-465,2499.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ba-46-00-00-465%0APrice%3A%20Rs%202499%0ASource%3A%20facebook_comment,2026-05-10 16:45:42.961559
1550435473759617_1512473176984343,105834518183309_1550435473759617,Pe-54-00-00-543,1099.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-54-00-00-543%0APrice%3A%20Rs%201099%0ASource%3A%20facebook_comment,2026-05-10 16:45:54.322075
1551013547035143_1871623110879463,105834518183309_1551013547035143,Pe-68-00-00-683,299.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-68-00-00-683%0APrice%3A%20Rs%20299%0ASource%3A%20facebook_comment,2026-05-11 09:52:30.021378
1551018103701354_914535281611562,105834518183309_1551018103701354,Sm-79-00-00-799,1899.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Sm-79-00-00-799%0APrice%3A%20Rs%201899%0ASource%3A%20facebook_comment,2026-05-11 09:52:38.475955
1551164890353342_1511826720593408,105834518183309_1551164890353342,Ap-57-00-00-579,2499.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ap-57-00-00-579%0APrice%3A%20Rs%202499%0ASource%3A%20facebook_comment,2026-05-11 12:43:06.480344
1551394263663738_1711188646582837,105834518183309_1551394263663738,Ho-80-00-00-808,1899.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-80-00-00-808%0APrice%3A%20Rs%201899%0ASource%3A%20facebook_comment,2026-05-11 18:02:24.259951
1551440906992407_1292586135744811,105834518183309_1551440906992407,Pe-33-00-00-339,1099.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-33-00-00-339%0APrice%3A%20Rs%201099%0ASource%3A%20facebook_comment,2026-05-11 19:56:29.649003
1551901433613021_1881407865885083,105834518183309_1551901433613021,Pe-53-00-00-532,1199.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-53-00-00-532%0APrice%3A%20Rs%201199%0ASource%3A%20facebook_comment,2026-05-12 10:38:25.674097
1552306696905828_2215266999290344,105834518183309_1552306696905828,Ho-70-00-00-701,799.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-70-00-00-701%0APrice%3A%20Rs%20799%0ASource%3A%20facebook_comment,2026-05-12 18:23:05.507690
1552812710188560_1537761247920765,105834518183309_1552812710188560,Pe-52-00-00-521,1299.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-52-00-00-521%0APrice%3A%20Rs%201299%0ASource%3A%20facebook_comment,2026-05-13 10:36:04.050551
1553238263479338_4515382688738395,105834518183309_1553238263479338,Ap-58-00-00-585,2499.0,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ap-58-00-00-585%0APrice%3A%20Rs%202499%0ASource%3A%20facebook_comment,2026-05-13 17:36:36.486480
1553774353425729_1683947583029392,105834518183309_1553774353425729,Ho-10-00-00-100,299,https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-10-00-00-100%0APrice%3A%20Rs%20299%0ASource%3A%20facebook_comment,2026-05-14 09:56:30.805771
